year,name,gender,birth_year,expertise,employer,nature_of_employer,nominator
2017,金晓剑,male,1959,能源与矿业工程管理,海洋石油工程股份有限公司,state-owned enterprise,院士提名中国科协
2017,李明华,male,1962,机械与运载工程管理,中国航天科技集团公司,state-owned enterprise,院士提名
2017,李耀基,male,1962,能源与矿业工程管理,云南磷化集团有限公司,state-owned enterprise,中国科协
2017,刘保延,male,1955,医药卫生工程管理,中国中医科学院中医药数据中心,university/research institute,院士提名
2017,刘合,male,1961,能源与矿业工程管理,中国石油天然气股份有限公司勘探开发研究院,state-owned enterprise,院士提名
2017,刘建功,male,1956,能源与矿业工程管理,河北工程大学,university/research institute,中国科协
2017,刘振亚,male,1952,能源与矿业工程管理,国家电网公司,state-owned enterprise,院士提名
2017,刘中民,male,1956,医药卫生工程管理,同济大学附属东方医院,university/research institute,中国科协
2017,卢春房,male,1956,土木、水利与建筑工程管理,中国铁路总公司,state-owned enterprise,院士提名
2017,陆化普,male,1957,土木、水利与建筑工程管理,清华大学,university/research institute,院士提名中国科协
2017,陆铭华,male,1963,信息与电子工程管理,中国人民解放军海军潜艇学院,military,院士提名
2017,罗云波,male,1958,农业工程管理,中国农业大学,university/research institute,院士提名
2017,孙殿军,male,1962,医药卫生工程管理,哈尔滨医科大学,university/research institute,中国科协
2017,唐立新,male,1966,化工、冶金与材料工程管理,东北大学,university/research institute,院士提名
2017,汪寿阳,male,1958,信息与电子工程管理,中国科学院数学与系统科学研究院,university/research institute,院士提名
2017,王金南,male,1962,环境与轻纺工程管理,环境保护部环境规划院,gov department,院士提名
2017,王志刚,male,1957,能源与矿业工程管理,中国石油化工股份有限公司,state-owned enterprise,院士提名
2017,魏一鸣,male,1968,环境与轻纺工程管理,北京理工大学,university/research institute,中国科协
2017,吴子丹,male,1955,环境与轻纺工程管理,国家粮食局,gov department,中国科协
2017,谢玉洪,male,1961,能源与矿业工程管理,中国海洋石油总公司,state-owned enterprise,中国科协
2017,杨宏,male,1963,信息与电子工程管理,中国航天科技集团公司第五研究院,state-owned enterprise,院士提名
2017,姚燕（女）,female,1957,化工、冶金与材料工程管理,中国建筑材料科学研究总院,state-owned enterprise,院士提名
2017,于勇,male,1963,化工、冶金与材料工程管理,河钢集团有限公司,state-owned enterprise,院士提名
2017,袁宏永,male,1965,能源与矿业工程管理,清华大学,university/research institute,中国科协
2017,张大伟,male,1957,能源与矿业工程管理,国土资源部矿产资源储量评审中心,gov department,院士提名
2017,张鹭鹭（女）,female,1964,医药卫生工程管理,中国人民解放军第二军医大学,military,院士提名
2017,朱道立,male,1945,信息与电子工程管理,上海交通大学,university/research institute,院士提名
2017,朱明,male,1958,农业工程管理,农业部规划设计研究院,gov department,院士提名
2017,朱石坚,male,1955,机械与运载工程管理,中国人民解放军海军工程大学,military,中国科协
2019,曹建国,male,1963,机械与运载工程管理,中国航空发动机集团有限公司,state-owned enterprise,院士提名
2019,常兆华,male,1963,医药卫生工程管理,上海微创医疗器械有限公司,private enterprise,中国科协
2019,陈劲,male,1968,新兴交叉领域工程技术创新管理,清华大学,university/research institute,院士提名
2019,陈景河,male,1957,能源与矿业工程管理,紫金矿业集团股份有限公司,state-owned enterprise,院士提名
