name,dual_cat,subarea,year_award,year_birth,age_award,gender,affiliation,affi_type,gov_position,highest_edu,highest_major,major_project,other_academician_title,bio_link
罗绍基,土木、水利与建筑工程学部,水利水电工程,1999,1933,66,male,"Guangdong Pumped Storage Power Generation Co.,Ltd.",state-owned enterprise,副厅级,unknown,hydroenergy,Guangdong Pumped Storage Power Station,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=340
钱七虎,土木、水利与建筑工程学部,地下工程与隧道工程,1994,1937,57,male,People's Liberation Army General Staff Department,military,military,doctor,protective engineering,,,http://ysg.ckcest.cn/ysgDetails/baseInfo/363/grxx_zyjl.html
饶芳权,接卸与运载工程学部,电机设计制造,1995,1934,61,male,Shanghai Jiaotong University,university/research institute,not sure,unknown,motors and appliances,Longyangxia Dam,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=1830
沈荣骏,N,信息与电子工程管理,2005,1936,69,male,"Commission for Science, Technology and Industry for National Defense",military,military,unknown,aerial survey,China's manned space program,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=1677
王礼恒,N,机械与运载工程管理,2003,1938,65,male,China Aerospace Science and Technology Corporation,state-owned enterprise,副部级,bachelor,rocket engine,China's manned space program,International Academy of Astronautics,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=97
汪应洛,N,机械与运载工程管理,2003,1930,73,male,Xi'an Jiaotong University,university/research institute,副部级,master,business organization and plan,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=41
王众托,N,信息与电子工程管理,2001,1928,73,male,Dalian University of Technology,university/research institute,not sure,unknown,power group,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=101
徐滨士,接卸与运载工程学部,武器系统与应用工程,1995,1931,64,male,PLA Army Armored Forces Academy,military,military,unknown,mechanical manufacturing and welding,,Polish Academy of Sciences,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=75
徐匡迪,化工、冶金与材料工程学部,钢铁冶金,1995,1937,58,male,Shanghai Municipal Party Committee,gov department,副部级,bachelor,ferrous metallurgy,,"Russian Academy of Engineering, Serbian Engineering Academy, Royal Swedish Academy of Engineering Sciences, Royal Academy of Engineering (U.K.), U.S. National Academy of Engineering ",http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=276
许庆瑞,N,机械与运载工程管理,2007,1930,77,male,Zhejiang University,university/research institute,not sure,master,industrial organization and planning,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=502
徐寿波,N,能源与矿业工程管理,2001,1931,70,male,National Development Planning Commission,gov department,not sure,doctor,synthesis energy engineering,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=1810
叶可明,土木、水利与建筑工程学部,结构工程,1995,1937,58,male,Shanghai Construction Group,state-owned enterprise,副厅级,unknown,industrial and civil architecture,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=316
殷瑞钰,化工、冶金与材料工程学部,钢铁冶金,1994,1935,59,male,Central Iron and Steel Research Institute,state-owned enterprise,副部级,unknown,metallurgy,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=280
袁晴棠,化工、冶金与材料工程学部,石油与天然气化工,1995,1938,57,female,Sinopec,state-owned enterprise,正厅级,master,inorganic chemical technology,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=281
翟光明,能源与矿业工程学部,油气资源与勘探,1995,1926,69,male,China National Petroleum Corporation,state-owned enterprise,not sure,unknown,geology,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=1926
张寿荣,化工、冶金与材料工程学部,钢铁冶金,1995,1928,67,male,Wuhan Iron and Steel Corporation,state-owned enterprise,not sure,bachelor,metallurgy,,Mexican Academy of Engineering,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=242
朱高峰,信息与电子工程学部,信息与通信网络技术,1994,1935,59,male,Chinese Academy of Engineering,university/research institute,副部级,unknown,telephone and telegraph,national long distance automatic telephone network,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=627
朱晓东,医药卫生学部,外科学,1996,1932,64,male,Wuhan Asia Heart Hospital,private enterprise,副厅级,master,medical science,,,http://ysg.ckcest.cn/ysgDetailsAction.do?method=baseInfo&acInfoId=683
